idx	cluster	cluster_dist	count	motif
0	7	0.6717752174010523	200053	('*',)
1	7	0.373391178867929	32609	('agree_*',)
2	7	0.3860808175551884	10186	('agree_*', 'agree_is')
3	7	0.9101264678013525	137	('agree_*', 'agree_however', 'agree_is')
4	7	0.5701087918866538	417	('agree_*', 'agree_however')
5	7	0.6189096014568257	216	('agree_*', 'however>*')
6	7	0.7130216672783275	1702	('however>*',)
7	7	0.4292171465141503	54449	('does>*',)
8	6	0.5130250350834251	8926	('accept_*', 'accept_does')
9	6	0.6320933840707953	580	('accept_*', 'accept_be', 'accept_does')
10	6	0.5070914255817649	11273	('accept_*',)
11	6	0.639228405301598	694	('accept_*', 'accept_be')
12	5	0.5701147078223272	63691	('will>*',)
13	5	0.6472825595203109	3339	('ensure_*', 'will>*')
14	5	0.6789496961837683	5157	('ensure_*',)
15	3	0.8494891211147676	2715	('assure_*', 'will>*')
16	3	0.8147892611477477	4873	('assure_*',)
17	3	0.8319506247602292	3206	('assure_*', 'assure_will')
18	7	0.8063901136319831	3431	('join_*',)
19	6	0.5714736931199486	2478	('does>*', 'does>not')
20	3	1.0745138017318585	114	('underline_*',)
21	7	0.5870304162616167	347	('agree_*', 'agree_has')
22	0	0.7725918400252022	10511	('can>*',)
23	4	0.7122764332151987	313	('outline_*',)
24	6	0.6697058582544052	46321	('is_*',)
25	2	0.8626770640028165	4146	('are_*',)
26	7	0.6367128645991526	1312	('although>*',)
27	0	0.7812975879712489	3934	('give_*', 'will>*')
28	5	0.7558645383057561	657	('give_*', 'give_to', 'will>*')
29	0	0.712583656261484	8420	('give_*',)
30	0	0.7566904404776781	5027	('give_*', 'give_will')
31	5	0.7232771177785843	986	('give_*', 'give_to', 'give_will')
32	5	0.7821125540362597	1645	('give_*', 'give_to')
33	1	0.658167884479195	7941	('be_*',)
34	0	0.6949288214077018	2783	('be_*', 'be_will')
35	5	0.8806017862455712	103	('be_*', 'be_aware', 'be_will')
36	5	0.8535648434215725	119	('be_*', 'be_aware')
37	2	0.7471927989391584	6767	('how>*',)
