idx	aarc	cluster	cluster_dist	count
0	however>*	1	0.8094044082931925	12863
1	start_*	0	0.8841007763613579	393
2	is_*	7	0.8093649724212667	152172
3	is_more	2	1.0296206565812882	207
4	as>for	2	0.7885431949420371	2368
5	as>*	3	0.7765764696992615	27380
6	assure_*	3	0.762765606725645	5502
7	for_*	2	1.0674763489825074	329
8	for>*	2	1.1046936480441496	3436
9	is_matters	2	0.9017732733508595	127
10	what>matters	2	0.8946641391034834	115
11	what>*	2	0.8727479232816965	5192
12	is_welcome	7	0.8687863488246663	344
13	is_important	7	0.7169039921203904	7863
14	go_not	0	0.9247383813932426	274
15	go_on	2	0.930832110550129	236
16	go_*	2	0.9571146021519013	1811
17	go_can	0	0.9445220643638916	204
18	committed_*	4	0.8501837888863676	1094
19	be_important	0	0.9182598116568036	144
20	committed_to	4	0.8542877659644266	748
21	be_*	0	0.9224220384849493	29858
22	be_will	0	0.9209147250627906	13454
23	be_in	0	0.9149481425896557	1609
24	include_*	1	0.9279123187613969	773
25	include_will	0	0.9168942577506474	193
26	committed_have	4	0.8045507557560052	239
27	over>*	2	0.973476645770949	722
28	join_in	7	0.9288652136568225	300
29	told_*	2	0.8441974988449937	979
30	join_*	7	0.9352119132194295	986
31	equally>*	6	1.0121827296652182	295
32	condemn_*	7	0.7411857440855599	233
33	is_of	7	0.8733946842687651	2012
34	is_focus	7	1.0113304917861152	139
35	know_*	5	0.8783637161541498	12301
36	am_*	5	0.6551181376318066	38986
37	am_grateful	5	0.746015801783191	6644
38	is_right	4	0.7578311846769379	18027
39	is_put	6	0.9854016249512152	507
40	am_pleased	4	0.6514730806777083	1987
41	doing_is	4	0.7806909428197494	495
42	will>be	3	0.8650589756706789	626
43	doing_*	4	0.7242902430802706	2112
44	will>*	3	0.79020836021607	3654
45	strengthened_*	0	0.9751359714086894	101
46	is_course	6	1.0057342923857924	1015
47	is_also	7	0.8508527788368119	1159
48	of>*	5	0.9661573349937673	6517
49	of>course	5	0.9563875473763583	5647
50	on>*	0	0.8262276317707937	6603
51	express_*	0	1.0003621105186464	125
52	has_*	7	0.9272793386505505	6009
53	at>*	0	0.9983248491309696	3136
54	shows_*	2	0.8871495017111719	1573
55	take_*	5	0.8522369187716153	6656
56	take_should	5	0.9299328462983484	305
57	thank_for	5	0.8261441615750064	1721
58	thank_*	4	0.7431465761771325	4233
59	devolved_*	4	0.8630228764761617	105
60	is_for	6	0.8072277632282653	1733
61	is_be	7	0.7639644317130766	2115
62	understand_*	5	0.7770465821179204	6697
63	looking_are	4	1.0491937804148483	1675
64	looking_at	4	1.0486903910702166	1639
65	looking_*	4	1.0536469840273848	2643
66	in_*	2	0.9233024812836087	1563
67	in>so	2	0.8504848262481296	108
68	in>*	2	0.9445203977702914	16978
69	that>*	1	0.7923855248749722	1291
